mls_listing_number,address,list_price,total_bedrooms,total_bathrooms,total_square_feet,property_type,architecture_style,neighborhood_name,school_district_name,elementary_school_name,middle_school_name,high_school_name,listing_description,views
SF977330,"2953 Dolores St #14, San Francisco, CA",1900000,6,6.0,4400,Multi Family,Spanish Colonial,Mission District,San Francisco Unified School District,Cesar Chavez Elementary,Everett Middle School,Mission High School,"Prime Mission District duplex — a rare turnkey investment or owner-occupy opportunity. This Spanish Colonial building offers 6 total bedrooms, 6.0 baths, and 4,400 sq ft of living space. Each unit features updated kitchens, hardwood floors, and high ceilings. Building includes EV-ready garage and a sunny deck. Strong rental history in one of SF's most desirable neighborhoods. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF970720,"2942 Hayes St, San Francisco, CA",1225000,3,4.0,2550,Townhouse,Modern,Hayes Valley,San Francisco Unified School District,John Muir Elementary,Everett Middle School,Mission High School,"Exceptional end-unit Modern townhouse in the heart of Hayes Valley. 3 bedrooms, 4.0 baths, 2,550 sq ft. Designed for modern living with updated kitchen with gas range and subway tile backsplash, open-plan great room, and a private rear garden. Generous primary suite with ensuite bath and custom built-ins. 2-car garage, dedicated laundry room, smart home features throughout. Enjoy breathtaking garden views from the living areas and primary suite. Walk to Hayes Valley's acclaimed restaurants, parks, and Muni.",Garden View
SF940064,"1213 Armstrong Ave #3B, San Francisco, CA",700000,0,1.0,1700,Condo,Loft,Bayview,San Francisco Unified School District,Martin Luther King Jr. Elementary,Hoover Middle School,Thurgood Marshall High School,"Modern living in the vibrant Bayview neighborhood. This sleek 0BD/1.0BA loft condo (1,700 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a wrap-around deck. Sun-drenched throughout with skylights in the primary bath. Building features concierge, fitness center, and guest suite. In-unit laundry closet and EV-ready garage included. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF133958,"2360 Hayes St #12C, San Francisco, CA",2900000,3,4.0,3000,Single Family,Tudor,Hayes Valley,San Francisco Unified School District,John Muir Elementary,Everett Middle School,Mission High School,"Rare opportunity to own a meticulously restored Tudor in Hayes Valley. This 3-bed, 4.0-bath home (3,000 sq ft) balances period character with modern updates. The gourmet kitchen with waterfall island and wine refrigerator leads to a rooftop terrace, ideal for entertaining. Upstairs, the naturally lit primary bedroom features vaulted ceilings. Original oak floors throughout. 1-car garage and in-unit laundry closet. Hayes Valley is celebrated for chic, walkable neighborhood with designer boutiques and top-rated restaurants — this home delivers it all.",None
SF668507,"2093 3rd St #7A, San Francisco, CA",675000,3,3.0,1750,Condo,Victorian,SOMA,San Francisco Unified School District,Bessie Carmichael Elementary,Hoover Middle School,City Arts & Tech High School,"Sophisticated 3BD/3.0BA victorian condo in the heart of SOMA. This sun-drenched 1,750 sq ft residence features designer kitchen with integrated appliances and pantry, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. In-unit washer/dryer, deeded parking, and a rooftop terrace round out this exceptional offering. Enjoy breathtaking bay views from the living areas and primary suite. Walk to SOMA's parks, cafés, and transit.",Bay View
SF971776,"933 Innes Ave #17B, San Francisco, CA",850000,1,1.0,800,Condo,Art Deco,Bayview,San Francisco Unified School District,Malcolm X Academy,Hoover Middle School,Thurgood Marshall High School,"Modern living in the vibrant Bayview neighborhood. This sleek 1BD/1.0BA art deco condo (800 sq ft) features designer kitchen with integrated appliances and pantry, Bosch appliances, and a landscaped patio. Naturally lit throughout with skylights in the primary bath. Building features concierge, fitness center, and guest suite. In-unit washer/dryer and EV-ready garage included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF525818,"1993 9th Ave, San Francisco, CA",2625000,4,4.0,1850,Single Family,Edwardian,Forest Hill,San Francisco Unified School District,West Portal Elementary,Hoover Middle School,George Washington High School,"Rare opportunity to own a meticulously restored Edwardian in Forest Hill. This 4-bed, 4.0-bath home (1,850 sq ft) balances period character with modern updates. The gourmet kitchen with waterfall island and wine refrigerator leads to a charming Juliet balcony, ideal for entertaining. Upstairs, the bright and airy primary bedroom features period windows. Original hardwood floors throughout. Ev-ready garage and washer/dryer hookups. Enjoy breathtaking park views from the living areas and primary suite. Forest Hill is celebrated for serene, wooded enclave with large homes and a private community association — this home delivers it all.",Park View
SF589491,"1882 Surrey St, San Francisco, CA",2100000,3,3.0,1550,Single Family,Mid-Century Modern,Glen Park,San Francisco Unified School District,Sunnyside Elementary,Aptos Middle School,Abraham Lincoln High School,"Rare opportunity to own a meticulously restored Mid-Century Modern in Glen Park. This 3-bed, 3.0-bath home (1,550 sq ft) balances period character with modern updates. The designer kitchen with integrated appliances and pantry leads to a wrap-around deck, ideal for entertaining. Upstairs, the bright and airy primary bedroom features an ensuite bath and walk-in closet. Original hardwood floors throughout. Tandem garage and in-unit laundry closet. Glen Park is celebrated for tucked-away village with canyon trails and strong neighborhood identity — this home delivers it all.",None
SF224582,"3102 Fulton St #20C, San Francisco, CA",1075000,2,2.5,1150,Condo,Modern,Outer Richmond,San Francisco Unified School District,Francis Scott Key Elementary,Roosevelt Middle School,George Washington High School,"Modern living in the vibrant Outer Richmond neighborhood. This sleek 2BD/2.5BA modern condo (1,150 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and a charming Juliet balcony. Light-filled throughout with oversized windows flooding rooms with natural light. Building features secure entry, elevator, and bike room. In-unit laundry closet and EV-ready garage included. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF127941,"708 Vienna St, San Francisco, CA",2150000,4,4.5,1400,Single Family,Mid-Century Modern,Excelsior,San Francisco Unified School District,Excelsior Elementary,Aptos Middle School,John O'Connell High School,"Rare opportunity to own a meticulously restored Mid-Century Modern in Excelsior. This 4-bed, 4.5-bath home (1,400 sq ft) balances period character with modern updates. The fully remodeled kitchen with custom cabinetry and quartz countertops leads to a sunny deck, ideal for entertaining. Upstairs, the sun-soaked primary bedroom features period windows. Original oak floors throughout. 1-car garage and in-unit washer/dryer. Enjoy breathtaking city views from the living areas and primary suite. Excelsior is celebrated for diverse, working-class neighborhood with authentic global cuisine — this home delivers it all.",City View
